UserID,UserID,Name,Surname,Email,Gender,Age_Group,Age_Category,Race,Province,Instagram_Handles,Channel2,LocalTime_SAST,Duration 2
600435,600435,Loyd ,Crotty,Loyd 491@yahoo.com,male,30-39,Mid Adult,black,Western Cape,@Loyd 49,Boomerang,1/8/2016 7:38,2026-04-16T00:02:30.000Z
630977,630977,Stacy ,Wigfall,Stacy 274@abcmail.com,male,20-29,Adult,coloured,Gauteng,@Stacy 27,Trace TV,1/16/2016 11:52,2026-04-16T00:00:15.000Z
667632,667632,Dion ,Zweifel,Dion 331@yahoo.com,male,30-39,Adult,None,Western Cape,@Dion 33,Cartoon Network,1/16/2016 20:25,2026-04-16T00:04:41.000Z
720398,720398,Emilie ,Deblois,Emilie 504@abcmail.com,female,20-29,Adult,coloured,Gauteng,@Emilie 50,DStv Events 1,1/20/2016 19:22,2026-04-16T00:01:05.000Z
720646,720646,Carter ,Lavoie,Carter 32@gmail.com,male,20-29,Adult,white,North West,@Carter 3,Supersport Live Events,1/19/2016 12:23,2026-04-16T00:00:16.000Z
724179,724179,Desirae ,Luthy,Desirae 292@gmail.com,female,20-29,Young Adults,black,Gauteng,@Desirae 29,Channel O,1/20/2016 20:49,2026-04-16T00:10:51.000Z
729345,729345,Wilburn ,Mcclaine,Wilburn 305@mailxyz.com,male,40-49,Mid Adult,white,Gauteng,@Wilburn 30,Boomerang,3/20/2016 6:41,2026-04-16T00:01:36.000Z
733347,733347,Lucas ,Creager,Lucas 234@abcmail.com,male,30-39,Adult,None,North West,@Lucas 23,Channel O,1/23/2016 19:29,2026-04-16T00:00:39.000Z
755058,755058,Cory ,Styer,Cory 101@yahoo.com,male,40-49,Mid Adult,white,Eastern Cape,@Cory 10,Cartoon Network,1/23/2016 9:59,2026-04-16T00:01:36.000Z
764468,764468,Earl ,Pool,Earl 421@yahoo.com,male,30-39,Adult,black,Gauteng,@Earl 42,Channel O,2/2/2016 8:59,2026-04-16T00:02:09.000Z
771927,771927,Lillie ,Langenfeld,Lillie 431@yahoo.com,female,30-39,Mid Adult,None,Western Cape,@Lillie 43,SuperSport Blitz,1/27/2016 7:55,2026-04-16T00:02:26.000Z
771978,771978,Efren ,Wigfall,Efren 131@yahoo.com,male,20-29,Young Adults,black,Kwazulu Natal,@Efren 13,Boomerang,2/5/2016 5:06,2026-04-16T00:00:31.000Z
772052,772052,Stephen ,Beville,Stephen 151@yahoo.com,male,30-39,Adult,coloured,Western Cape,@Stephen 15,Supersport Live Events,3/20/2016 18:26,2026-04-16T00:00:00.000Z
772276,772276,Eli ,Biggers,Eli 295@mailxyz.com,male,40-49,Mid Adult,black,Eastern Cape,@Eli 29,Supersport Live Events,2/2/2016 18:51,2026-04-16T00:03:18.000Z
772277,772277,Dion ,Bilyeu,Dion 331@yahoo.com,male,40-49,Mature Adult,black,Mpumalanga,@Dion 33,Africa Magic,3/12/2016 21:02,2026-04-16T00:00:06.000Z
772449,772449,Irving ,Creager,Irving 55@mailxyz.com,male,20-29,Adult,white,Gauteng,@Irving 5,Supersport Live Events,1/23/2016 17:25,2026-04-16T00:01:32.000Z
772477,772477,Rebekah ,Paradis,Rebekah 322@gmail.com,female,30-39,Mid Adult,black,Kwazulu Natal,@Rebekah 32,Cartoon Network,1/4/2016 6:40,2026-04-16T00:01:12.000Z
772529,772529,Kip ,Paradis,Kip 144@abcmail.com,male,20-29,Adult,black,Gauteng,@Kip 14,E! Entertainment,1/17/2016 9:57,2026-04-16T00:05:48.000Z
772665,772665,Lucas ,Wigfall,Lucas 235@mailxyz.com,male,30-39,Adult,black,Kwazulu Natal,@Lucas 23,Boomerang,2/3/2016 21:26,2026-04-16T00:04:03.000Z
772685,772685,Lane ,Gettys,Lane 115@mailxyz.com,male,30-39,Mid Adult,black,Gauteng,@Lane 11,Supersport Live Events,1/9/2016 17:18,2026-04-16T00:36:10.000Z
772983,772983,Yong ,Crotty,Yong 483@mail.com,male,40-49,Mature Adult,None,Gauteng,@Yong 48,Supersport Live Events,2/4/2016 15:49,2026-04-16T00:00:04.000Z
773002,773002,Randy ,Deblois,Randy 395@mailxyz.com,male,20-29,Adult,black,Gauteng,@Randy 39,kykNET,2/3/2016 19:33,2026-04-16T00:01:30.000Z
773052,773052,Emerson ,Pool,Emerson 244@abcmail.com,male,40-49,Mature Adult,coloured,Gauteng,@Emerson 24,Supersport Live Events,2/7/2016 17:19,2026-04-16T00:00:42.000Z
773059,773059,Shane ,Crotty,Shane 22@gmail.com,male,30-39,Mid Adult,black,Mpumalanga,@Shane 2,MK,2/3/2016 2:30,2026-04-16T00:01:31.000Z
773163,773163,Carlota ,Tancredi,Carlota 241@yahoo.com,female,20-29,Adult,black,Western Cape,@Carlota 24,Boomerang,2/6/2016 10:53,2026-04-16T00:03:50.000Z
773393,773393,Charlie ,Singer,Charlie 363@mail.com,male,19-Oct,Teenagers,white,Western Cape,@Charlie 36,Channel O,2/2/2016 8:43,2026-04-16T00:02:21.000Z
773431,773431,Roxane ,Lavoie,Roxane 404@abcmail.com,female,20-29,Young Adults,indian_asian,Kwazulu Natal,@Roxane 40,Boomerang,1/20/2016 17:42,2026-04-16T00:02:10.000Z
773504,773504,Valentine ,Paradis,Valentine 471@yahoo.com,male,50-59,Mature Adult,None,Kwazulu Natal,@Valentine 47,Supersport Live Events,2/5/2016 15:55,2026-04-16T00:02:24.000Z
773530,773530,Bernardo ,Sytsma,Bernardo 321@yahoo.com,male,40-49,Mature Adult,black,Kwazulu Natal,@Bernardo 32,SuperSport Blitz,1/30/2016 9:23,2026-04-16T00:00:16.000Z
773540,773540,Carter ,Sieren,Carter 33@mail.com,male,30-39,Adult,coloured,Western Cape,@Carter 3,Trace TV,1/19/2016 21:15,2026-04-16T00:04:09.000Z
773570,773570,Cory ,Tatham,Cory 103@mail.com,male,40-49,Mid Adult,None,Gauteng,@Cory 10,ICC Cricket World Cup 2011,3/15/2016 18:44,2026-04-16T00:02:22.000Z
778615,778615,None,None,Seema 484@abcmail.com,None,0-9,Child/Infant,None,None,None,Channel O,3/12/2016 17:45,2026-04-16T00:03:45.000Z
779471,779471,Stefan ,Biggers,Stefan 464@abcmail.com,male,20-29,Adult,black,Eastern Cape,@Stefan 46,Boomerang,2/10/2016 8:38,2026-04-16T00:11:09.000Z
779656,779656,Blanca ,Slane,Blanca 403@mail.com,female,20-29,Adult,black,Gauteng,@Blanca 40,Trace TV,1/15/2016 9:57,2026-04-16T00:09:09.000Z
779980,779980,Dee ,Caves,Dee 212@gmail.com,male,40-49,Mature Adult,coloured,Eastern Cape,@Dee 21,Africa Magic,2/4/2016 8:34,2026-04-16T00:00:49.000Z
780483,780483,Chas ,Bilyeu,Chas 354@abcmail.com,male,20-29,Adult,black,Mpumalanga,@Chas 35,Supersport Live Events,1/15/2016 18:26,2026-04-16T00:03:14.000Z
780546,780546,Charlie ,Crotty,Charlie 364@abcmail.com,male,40-49,Mature Adult,black,Gauteng,@Charlie 36,CNN,3/6/2016 14:07,2026-04-16T00:21:27.000Z
785456,785456,Winona ,Wigfall,Winona 74@abcmail.com,female,40-49,Mid Adult,white,Gauteng,@Winona 7,E! Entertainment,2/11/2016 12:36,2026-04-16T00:01:48.000Z
786607,786607,Kyle ,Lavoie,Kyle 63@mail.com,male,40-49,Mature Adult,coloured,Western Cape,@Kyle 6,Supersport Live Events,2/11/2016 19:11,2026-04-16T00:02:54.000Z
788744,788744,Abel ,Jacox,Abel 183@mail.com,male,20-29,Young Adults,coloured,Western Cape,@Abel 18,SuperSport Blitz,1/15/2016 1:09,2026-04-16T00:02:30.000Z
788922,788922,Cory ,Fudge,Cory 101@yahoo.com,male,50-59,Mature Adult,coloured,Western Cape,@Cory 10,ICC Cricket World Cup 2011,2/27/2016 18:06,2026-04-16T00:01:52.000Z
789053,789053,Williemae ,Holt,Williemae 492@gmail.com,female,30-39,Adult,black,Gauteng,@Williemae 49,Boomerang,1/28/2016 23:38,2026-04-16T00:13:51.000Z
789241,789241,Carter ,Crotty,Carter 34@abcmail.com,male,20-29,Adult,coloured,Northern Cape,@Carter 3,Boomerang,2/13/2016 10:22,2026-04-16T00:01:58.000Z
789244,789244,Chas ,Sieren,Chas 352@gmail.com,male,19-Oct,Young Adults,black,North West,@Chas 35,E! Entertainment,2/12/2016 12:21,2026-04-16T00:00:10.000Z
789309,789309,Bernardo ,Fudge,Bernardo 323@mail.com,male,40-49,Mature Adult,coloured,Western Cape,@Bernardo 32,Supersport Live Events,2/12/2016 11:57,2026-04-16T00:00:22.000Z
789766,789766,Bret ,Restivo,Bret 312@gmail.com,male,19-Oct,Young Adults,black,Free State,@Bret 31,Supersport Live Events,2/12/2016 14:39,2026-04-16T00:04:12.000Z
790440,790440,Hollis ,Hoadley,Hollis 381@yahoo.com,male,19-Oct,Teenagers,black,Gauteng,@Hollis 38,Trace TV,1/19/2016 7:38,2026-04-16T00:01:00.000Z
790685,790685,Brendan ,Sytsma,Brendan 454@abcmail.com,male,20-29,Adult,black,Kwazulu Natal,@Brendan 45,Africa Magic,2/14/2016 9:36,2026-04-16T00:00:02.000Z
792539,792539,Stacy ,Luthy,Stacy 275@mailxyz.com,male,30-39,Adult,white,Free State,@Stacy 27,ICC Cricket World Cup 2011,2/20/2016 12:28,2026-04-16T00:01:08.000Z
793041,793041,Earl ,Mastrangelo,Earl 424@abcmail.com,male,40-49,Mid Adult,black,North West,@Earl 42,Africa Magic,2/16/2016 13:48,2026-04-16T00:01:11.000Z
793232,793232,Wilton ,Mastrangelo,Wilton 415@mailxyz.com,male,20-29,Adult,black,North West,@Wilton 41,Africa Magic,2/16/2016 9:21,2026-04-16T00:00:17.000Z
793883,793883,Lloyd ,Roquemore,Lloyd 74@abcmail.com,male,30-39,Adult,coloured,Northern Cape,@Lloyd 7,Trace TV,2/15/2016 14:36,2026-04-16T00:04:36.000Z
794277,794277,Art ,Sieren,Art 402@gmail.com,male,30-39,Adult,black,Gauteng,@Art 40,Cartoon Network,2/14/2016 15:40,2026-04-16T00:02:35.000Z
794647,794647,Stephen ,Leicht,Stephen 152@gmail.com,male,40-49,Mid Adult,white,Gauteng,@Stephen 15,Boomerang,1/2/2016 11:33,2026-04-16T00:06:45.000Z
803004,803004,None,None,Nakita 233@mail.com,None,0-9,Child/Infant,None,None,None,ICC Cricket World Cup 2011,3/30/2016 19:00,2026-04-16T00:11:44.000Z
803159,803159,Stefan ,Deblois,Stefan 463@mail.com,male,30-39,Adult,black,Gauteng,@Stefan 46,Trace TV,3/19/2016 13:41,2026-04-16T00:00:33.000Z
803575,803575,Donald ,Mina,Donald 222@gmail.com,male,20-29,Adult,indian_asian,Eastern Cape,@Donald 22,Supersport Live Events,1/23/2016 12:34,2026-04-16T00:39:16.000Z
803967,803967,Robby ,Curran,Robby 164@abcmail.com,male,40-49,Mid Adult,black,Kwazulu Natal,@Robby 16,Boomerang,1/6/2016 20:23,2026-04-16T00:08:18.000Z
803990,803990,Emilie ,Deblois,Emilie 344@abcmail.com,female,20-29,Adult,black,Free State,@Emilie 34,Africa Magic,2/18/2016 16:27,2026-04-16T00:03:51.000Z
804168,804168,Loyd ,Fudge,Loyd 494@abcmail.com,male,40-49,Mid Adult,coloured,Gauteng,@Loyd 49,Channel O,2/19/2016 19:34,2026-04-16T00:01:42.000Z
804459,804459,Roxane ,Lavoie,Roxane 303@mail.com,female,30-39,Adult,black,Gauteng,@Roxane 30,SawSee,3/2/2016 17:59,2026-04-16T00:01:16.000Z
804936,804936,Michel ,Woolard,Michel 201@yahoo.com,male,30-39,Mid Adult,black,Gauteng,@Michel 20,CNN,2/21/2016 9:26,2026-04-16T00:00:34.000Z
805172,805172,Irving ,Tatham,Irving 54@abcmail.com,male,30-39,Adult,black,Gauteng,@Irving 5,SuperSport Blitz,2/16/2016 21:23,2026-04-16T00:02:12.000Z
805296,805296,Jacinto ,Bilyeu,Jacinto 254@abcmail.com,male,60-69,Seniors,None,Gauteng,@Jacinto 25,SuperSport Blitz,2/19/2016 21:09,2026-04-16T00:16:56.000Z
805310,805310,Dee ,Marek,Dee 212@gmail.com,male,30-39,Mid Adult,black,Gauteng,@Dee 21,Africa Magic,1/7/2016 16:55,2026-04-16T00:02:27.000Z
806823,806823,Hollis ,Mcculloch,Hollis 381@yahoo.com,male,30-39,Mid Adult,black,Gauteng,@Hollis 38,Africa Magic,2/21/2016 10:20,2026-04-16T00:00:26.000Z
808923,808923,Art ,Nicholls,Art 405@mailxyz.com,male,20-29,Young Adults,other,Eastern Cape,@Art 40,Trace TV,2/17/2016 20:45,2026-04-16T00:13:21.000Z
808984,808984,Len ,Hier,Len 441@yahoo.com,male,40-49,Mid Adult,coloured,Western Cape,@Len 44,kykNET,2/19/2016 17:58,2026-04-16T00:01:57.000Z
809079,809079,Filiberto ,Lavoie,Filiberto 43@mail.com,male,30-39,Adult,black,Mpumalanga,@Filiberto 4,Africa Magic,2/21/2016 15:27,2026-04-16T00:00:17.000Z
809148,809148,Efren ,Sytsma,Efren 132@gmail.com,male,30-39,Mid Adult,indian_asian,Limpopo,@Efren 13,Trace TV,2/21/2016 0:40,2026-04-16T00:04:45.000Z
809231,809231,Kip ,Leicht,Kip 145@mailxyz.com,male,40-49,Mature Adult,black,Gauteng,@Kip 14,Cartoon Network,2/4/2016 13:18,2026-04-16T00:00:48.000Z
809284,809284,Shane ,Luthy,Shane 24@abcmail.com,male,30-39,Adult,white,Western Cape,@Shane 2,ICC Cricket World Cup 2011,2/22/2016 14:32,2026-04-16T00:07:06.000Z
809286,809286,Robby ,Roquemore,Robby 164@abcmail.com,male,30-39,Mid Adult,white,Mpumalanga,@Robby 16,SawSee,3/6/2016 9:32,2026-04-16T00:14:05.000Z
809317,809317,Shane ,Mccown,Shane 23@mail.com,male,20-29,Adult,None,Western Cape,@Shane 2,M-Net,2/19/2016 22:25,2026-04-16T00:00:49.000Z
809331,809331,Brendan ,Nicholls,Brendan 452@gmail.com,male,40-49,Mature Adult,indian_asian,Western Cape,@Brendan 45,SuperSport Blitz,2/14/2016 1:43,2026-04-16T00:11:06.000Z
809380,809380,Donald ,Leicht,Donald 221@yahoo.com,male,30-39,Adult,white,Free State,@Donald 22,ICC Cricket World Cup 2011,3/15/2016 15:55,2026-04-16T00:45:44.000Z
809407,809407,Rebekah ,Paradis,Rebekah 173@mail.com,female,30-39,Adult,black,Limpopo,@Rebekah 17,Africa Magic,2/9/2016 6:49,2026-04-16T00:26:04.000Z
809424,809424,Krysta ,Mastrangelo,Krysta 354@abcmail.com,female,20-29,Young Adults,coloured,Western Cape,@Krysta 35,E! Entertainment,2/22/2016 20:59,2026-04-16T00:00:40.000Z
809449,809449,Hyman ,Fudge,Hyman 81@yahoo.com,male,20-29,Young Adults,coloured,Kwazulu Natal,@Hyman 8,Boomerang,2/21/2016 10:27,2026-04-16T00:01:37.000Z
809486,809486,Shane ,Nicholls,Shane 21@yahoo.com,male,20-29,Adult,white,Gauteng,@Shane 2,CNN,2/22/2016 9:14,2026-04-16T00:07:11.000Z
809604,809604,Jared ,Mccown,Jared 503@mail.com,male,20-29,Young Adults,black,Western Cape,@Jared 50,Trace TV,2/7/2016 21:13,2026-04-16T00:04:39.000Z
809648,809648,Bret ,Pilot,Bret 311@yahoo.com,male,19-Oct,Young Adults,black,Western Cape,@Bret 31,Supersport Live Events,2/20/2016 14:41,2026-04-16T00:02:26.000Z
809727,809727,Bernardo ,Pilot,Bernardo 325@mailxyz.com,male,20-29,Adult,indian_asian,Limpopo,@Bernardo 32,ICC Cricket World Cup 2011,3/11/2016 13:12,2026-04-16T00:10:24.000Z
809759,809759,Raymundo ,Holt,Raymundo 433@mail.com,male,30-39,Mid Adult,indian_asian,Limpopo,@Raymundo 43,ICC Cricket World Cup 2011,2/24/2016 12:00,2026-04-16T00:02:26.000Z
809787,809787,Shandra ,Mccollum,Shandra 325@mailxyz.com,female,30-39,Adult,black,Kwazulu Natal,@Shandra 32,Africa Magic,2/9/2016 15:38,2026-04-16T00:30:44.000Z
809817,809817,Jacinto ,Arrieta,Jacinto 251@yahoo.com,male,20-29,Adult,black,Western Cape,@Jacinto 25,Trace TV,2/19/2016 13:18,2026-04-16T00:02:06.000Z
809853,809853,Williemae ,Holt,Williemae 241@yahoo.com,female,40-49,Mature Adult,None,Western Cape,@Williemae 24,Africa Magic,2/4/2016 11:35,2026-04-16T00:03:38.000Z
809908,809908,Len ,Hoadley,Len 445@mailxyz.com,male,0-9,Child/Infant,indian_asian,Eastern Cape,@Len 44,ICC Cricket World Cup 2011,2/20/2016 21:56,2026-04-16T00:00:46.000Z
810051,810051,Winona ,Wigfall,Winona 71@yahoo.com,female,20-29,Young Adults,indian_asian,Gauteng,@Winona 7,Cartoon Network,2/18/2016 13:22,2026-04-16T00:00:15.000Z
810168,810168,Markus ,Borelli,Markus 192@gmail.com,male,30-39,Adult,black,Gauteng,@Markus 19,SuperSport Blitz,2/19/2016 19:40,2026-04-16T00:03:34.000Z
810169,810169,Yong ,Arrieta,Yong 485@mailxyz.com,male,30-39,Adult,white,Eastern Cape,@Yong 48,Supersport Live Events,2/19/2016 17:28,2026-04-16T00:00:34.000Z
810307,810307,Cody ,Beville,Cody 123@mail.com,male,20-29,Young Adults,indian_asian,Eastern Cape,@Cody 12,ICC Cricket World Cup 2011,2/24/2016 11:15,2026-04-16T00:03:26.000Z
810333,810333,Abel ,Mccown,Abel 185@mailxyz.com,male,20-29,Young Adults,indian_asian,Limpopo,@Abel 18,E! Entertainment,2/21/2016 21:51,2026-04-16T00:01:56.000Z
810346,810346,Bernardo ,Wigfall,Bernardo 325@mailxyz.com,male,30-39,Adult,black,Kwazulu Natal,@Bernardo 32,Channel O,2/18/2016 17:55,2026-04-16T00:52:12.000Z
810587,810587,Jacinto ,Shkreli,Jacinto 252@gmail.com,male,50-59,Mature Adult,black,Kwazulu Natal,@Jacinto 25,Channel O,2/5/2016 21:29,2026-04-16T00:02:15.000Z
810604,810604,Yong ,Slane,Yong 484@abcmail.com,male,40-49,Mature Adult,None,Gauteng,@Yong 48,CNN,2/16/2016 21:45,2026-04-16T00:02:50.000Z
810605,810605,Hugh,Crotty,Hugh13@mail.com,male,30-39,Adult,indian_asian,Limpopo,@Hugh1,Supersport Live Events,2/19/2016 16:55,2026-04-16T00:01:30.000Z
810611,810611,Lloyd ,Biggers,Lloyd 72@gmail.com,male,30-39,Mid Adult,coloured,Mpumalanga,@Lloyd 7,ICC Cricket World Cup 2011,2/22/2016 18:21,2026-04-16T00:01:36.000Z
810648,810648,Jacinto ,Paradis,Jacinto 253@mail.com,male,40-49,Mid Adult,indian_asian,Kwazulu Natal,@Jacinto 25,Trace TV,2/24/2016 16:54,2026-04-16T00:00:54.000Z
810770,810770,Garry ,Bilyeu,Garry 282@gmail.com,male,20-29,Adult,coloured,Western Cape,@Garry 28,E! Entertainment,2/20/2016 23:00,2026-04-16T00:00:20.000Z
814007,814007,Emerson ,Wigfall,Emerson 245@mailxyz.com,male,30-39,Adult,white,Gauteng,@Emerson 24,ICC Cricket World Cup 2011,2/24/2016 14:58,2026-04-16T00:03:04.000Z
817992,817992,Loyd ,Mastrangelo,Loyd 491@yahoo.com,male,40-49,Mature Adult,black,Kwazulu Natal,@Loyd 49,Africa Magic,2/24/2016 13:37,2026-04-16T00:00:34.000Z
819048,819048,Filiberto ,Lavoie,Filiberto 42@gmail.com,male,20-29,Adult,None,Eastern Cape,@Filiberto 4,Supersport Live Events,3/19/2016 17:11,2026-04-16T00:07:50.000Z
819358,819358,Valentine ,Borelli,Valentine 472@gmail.com,male,30-39,Mid Adult,white,Western Cape,@Valentine 47,Trace TV,2/26/2016 22:38,2026-04-16T00:00:45.000Z
819656,819656,Bret ,Roquemore,Bret 312@gmail.com,male,40-49,Mature Adult,black,Western Cape,@Bret 31,Africa Magic,2/26/2016 20:39,2026-04-16T00:01:05.000Z
820119,820119,Kip ,Hier,Kip 141@yahoo.com,male,20-29,Adult,indian_asian,Limpopo,@Kip 14,Trace TV,3/24/2016 8:33,2026-04-16T00:00:12.000Z
820310,820310,Donald ,Martello,Donald 221@yahoo.com,male,20-29,Adult,white,Gauteng,@Donald 22,Supersport Live Events,3/6/2016 14:59,2026-04-16T00:00:18.000Z
820387,820387,Markus ,Hoadley,Markus 191@yahoo.com,male,19-Oct,Teenagers,black,Limpopo,@Markus 19,Channel O,1/25/2016 12:07,2026-04-16T00:00:57.000Z
820573,820573,Garry ,Mina,Garry 281@yahoo.com,male,30-39,Adult,white,Gauteng,@Garry 28,Boomerang,2/26/2016 19:06,2026-04-16T00:00:20.000Z
820737,820737,None,None,Irmgard 233@mail.com,None,0-9,Child/Infant,None,None,None,Supersport Live Events,3/18/2016 8:35,2026-04-16T00:08:30.000Z
820770,820770,Dee ,Caves,Dee 212@gmail.com,male,30-39,Mid Adult,coloured,Western Cape,@Dee 21,Supersport Live Events,2/25/2016 11:47,2026-04-16T00:12:42.000Z
821206,821206,Royal ,Fudge,Royal 175@mailxyz.com,male,40-49,Mid Adult,white,Gauteng,@Royal 17,ICC Cricket World Cup 2011,2/24/2016 15:52,2026-04-16T00:02:34.000Z
821816,821816,Randy ,Arrieta,Randy 395@mailxyz.com,male,30-39,Mid Adult,black,Gauteng,@Randy 39,SuperSport Blitz,1/29/2016 20:30,2026-04-16T00:00:24.000Z
822062,822062,Irving ,Caves,Irving 54@abcmail.com,male,20-29,Adult,coloured,Free State,@Irving 5,Boomerang,2/16/2016 9:09,2026-04-16T00:00:23.000Z
822067,822067,Charlie ,Condie,Charlie 365@mailxyz.com,male,30-39,Mid Adult,coloured,Gauteng,@Charlie 36,Supersport Live Events,3/8/2016 1:36,2026-04-16T00:00:34.000Z
822334,822334,Hugh,Lavoie,Hugh14@abcmail.com,male,20-29,Young Adults,indian_asian,Gauteng,@Hugh1,ICC Cricket World Cup 2011,2/24/2016 11:20,2026-04-16T00:02:30.000Z
822366,822366,Adela ,Vital,Adela 182@gmail.com,female,40-49,Mid Adult,black,Mpumalanga,@Adela 18,Trace TV,2/26/2016 20:57,2026-04-16T00:00:06.000Z
822376,822376,Chas ,Singer,Chas 352@gmail.com,male,30-39,Mid Adult,coloured,Western Cape,@Chas 35,ICC Cricket World Cup 2011,2/24/2016 12:22,2026-04-16T00:03:46.000Z
822416,822416,Donald ,Curran,Donald 223@mail.com,male,50-59,Mature Adult,indian_asian,Gauteng,@Donald 22,Supersport Live Events,1/29/2016 13:59,2026-04-16T00:03:28.000Z
822560,822560,Romeo ,Hier,Romeo 372@gmail.com,male,20-29,Young Adults,white,Eastern Cape,@Romeo 37,Supersport Live Events,2/25/2016 9:10,2026-04-16T00:02:28.000Z
830921,830921,Shane ,Mcculloch,Shane 24@abcmail.com,male,20-29,Young Adults,white,Eastern Cape,@Shane 2,Trace TV,3/3/2016 21:24,2026-04-16T00:01:15.000Z
831314,831314,Chas ,Mastrangelo,Chas 351@yahoo.com,male,19-Oct,Young Adults,black,North West,@Chas 35,Cartoon Network,3/3/2016 18:20,2026-04-16T00:01:01.000Z
831413,831413,Hyman ,Martello,Hyman 83@mail.com,male,20-29,Adult,black,North West,@Hyman 8,Channel O,3/4/2016 6:15,2026-04-16T00:02:03.000Z
832147,832147,Lane ,Crotty,Lane 111@yahoo.com,male,40-49,Mid Adult,black,Mpumalanga,@Lane 11,Channel O,3/2/2016 17:04,2026-04-16T00:26:36.000Z
832504,832504,Michel ,Lavoie,Michel 205@mailxyz.com,male,20-29,Adult,white,Gauteng,@Michel 20,Supersport Live Events,2/18/2016 10:01,2026-04-16T00:04:06.000Z
832751,832751,Lloyd ,Biggers,Lloyd 71@yahoo.com,male,20-29,Young Adults,indian_asian,Kwazulu Natal,@Lloyd 7,Trace TV,1/9/2016 2:01,2026-04-16T00:02:45.000Z
832862,832862,Michel ,Woolard,Michel 202@gmail.com,male,30-39,Adult,black,Gauteng,@Michel 20,Channel O,2/1/2016 17:06,2026-04-16T00:27:03.000Z
832976,832976,Donald ,Fudge,Donald 224@abcmail.com,male,50-59,Mature Adult,indian_asian,Gauteng,@Donald 22,Supersport Live Events,3/24/2016 17:46,2026-04-16T00:05:58.000Z
833257,833257,Robby ,Wigfall,Robby 162@gmail.com,male,30-39,Adult,indian_asian,Kwazulu Natal,@Robby 16,Break in transmission,3/1/2016 21:43,2026-04-16T00:00:15.000Z
833521,833521,Hyman ,Jacox,Hyman 85@mailxyz.com,male,30-39,Adult,black,North West,@Hyman 8,Trace TV,3/2/2016 13:40,2026-04-16T00:01:48.000Z
833528,833528,Earl ,Bilyeu,Earl 425@mailxyz.com,male,40-49,Mid Adult,black,Gauteng,@Earl 42,Supersport Live Events,1/15/2016 17:09,2026-04-16T00:00:00.000Z
